Game_title,Game_ID,Min_players,Max_players,Playing_time,Year_published,Item_type,Publisher,Language,Rent_price,Price,Tournament_game
Rakieta imprezowa,272240,3,15,30,2019,standalone,FoxGames,Polish,8,80,0.0
Reavers of Midgard,242684,2,4,120,2021,standalone,Portal Games,Polish,26,260,0.0
Red Rising,329465,1,6,60,2021,standalone,PHALANX; Stonemaier Games,Polish,16,160,0.0
Red7,161417,2,4,30,2015,standalone,Asmadi Games; Lucrum Games,Polish,8,80,0.0
Res Arcana,262712,2,4,60,2019,standalone,Rebel Sp. z o.o.; Sand Castle Games,Polish,13,130,0.0
Res Arcana: Lux et Tenebrae,288168,2,5,60,2019,expansion,,,8,80,0.0
Reykholt,241831,1,4,60,2018,standalone,Portal Games,Polish,20,200,0.0
Rialto,119591,2,5,45,2013,standalone,Rebel Sp. z o.o.,Polish,9,90,0.0
Rice Wars,36634,2,5,60,2008,standalone,Kuźnia Gier,English; German; Polish,9,90,0.0
Rising Sun,205896,3,5,120,2018,standalone,Portal Games,Polish,44,440,0.0
Rising Sun: Dynasty Invasion,223782,3,6,120,2018,expansion,,,25,250,0.0
Robinson Crusoe: Przygoda na przeklętej wyspie,121921,1,4,120,2014,standalone,Portal Games,Polish,20,200,0.0
Rocketmen,283387,1,4,90,2021,standalone,PHALANX,Polish,18,180,0.0
Root,237182,2,4,90,2019,standalone,Portal Games,Polish,21,210,0.0
Root: Plemiona Rzeczne,241386,1,6,90,2019,expansion,Portal Games,Polish,11,110,0.0
Root: Podziemia,272637,2,6,90,2021,expansion,Portal Games,Polish,18,180,0.0
Rory's Story Cubes: Podróże,115233,1,12,20,2014,standalone,The Creativity Hub; Rebel Sp. z o.o.,English; Polish,8,80,0.0
Rosyjskie Koleje,144733,2,4,120,2014,standalone,Bard Centrum Gier; MINDOK,Czech; Polish,18,180,0.0
Ryzyko: Game of Thrones – Szybkie Starcie,179719,2,7,240,2017,standalone,Winning Moves UK Ltd.,Polish,18,180,0.0
Rzuć na Tacę,244522,1,4,30,2019,standalone,G3,Polish,8,80,0.0
Sabotażysta,9220,3,10,30,2016,standalone,G3,Polish,8,80,0.0
Sabotażysta: Pojedynek,168215,1,2,30,2015,standalone,G3,Polish,8,80,0.0
Sagrada,199561,1,4,45,2018,standalone,FoxGames,Polish,19,190,0.0
Santa Monica,298065,2,4,40,2021,standalone,FoxGames,Polish,15,150,0.0
Santiago de Cuba,104347,2,4,75,2013,standalone,Lacerta,Polish,10,100,0.0
Sąsiedzi,246812,2,4,15,2020,standalone,Muduko,Polish,8,80,0.0
